month,year,averagetemperature
Hello ,1997,14.74
February,1997,14.79
March,1997,18.23
April,1997,21.4
May,1997,24.26
June,1997,25.87
July,1997,26.58
August,1997,26.9
September,1997,24.9
October,1997,24.55
November,1997,21.3
December,1997,16.74
Hello,1998,15.16
February,1998,15.46
March,1998,17.35
April,1998,22.73
May,1998,25.32
June,1998,26.93
July,1998,27.71
August,1998,27.71
September,1998,26.4
October,1998,24.45
November,1998,20.97
December,1998,16.68
Hello,1999,14.74
February,1999,16.36
March,1999,18.45
April,1999,22.8
May,1999,23.32
June,1999,27.53
July,1999,27.94
August,1999,26.81
September,1999,26.27
October,1999,24.68
November,1999,20.03
December,1999,13.87
Hello,2000,14.77
February,2000,14.43
March,2000,20.75
April,2000,22.24
May,2000,25.29
June,2000,26.68
July,2000,27.58
August,2000,26.46
September,2000,26.07
October,2000,24.48
November,2000,18.9
December,2000,16.58
Hello,2001,15.29
February,2001,15.04
March,2001,19.06
April,2001,21.23
May,2001,25.42
June,2001,26.33
July,2001,26.74
August,2001,27.61
September,2001,26.57
October,2001,24.77
November,2001,18.8
December,2001,15.55
Hello,2002,14.53
February,2002,16.46
March,2002,20.06
April,2002,23.3
May,2002,25.48
June,2002,27.6
July,2002,27.29
August,2002,26.81
September,2002,25.53
October,2002,23.45
November,2002,19.1
December,2002,16
Hello,2003,13.19
February,2003,16.96
March,2003,17.71
April,2003,22.87
May,2003,25.97
June,2003,26.33
July,2003,28
August,2003,27.19
September,2003,26.4
October,2003,23.58
November,2003,20.07
December,2003,14.68
Hello,2004,13.68
February,2004,15.28
March,2004,17.9
April,2004,21.9
May,2004,24.65
June,2004,27.47
July,2004,26.97
August,2004,27.03
September,2004,26.03
October,2004,22.65
November,2004,20.53
December,2004,16.39
Hello,2005,13.35
February,2005,14.54
March,2005,15.32
April,2005,21.3
May,2005,24.06
June,2005,25.8
July,2005,27.23
August,2005,26.84
September,2005,26.97
October,2005,24.65
November,2005,22.04
December,2005,14.81
Hello,2006,14.84
February,2006,16.43
March,2006,16.94
April,2006,22.73
May,2006,24.68
June,2006,26.8
July,2006,27.81
August,2006,26.81
September,2006,25.3
October,2006,24.97
November,2006,21.43
December,2006,15.84
Hello,2007,14.1
February,2007,18.18
March,2007,18.97
April,2007,20.03
May,2007,24.97
June,2007,27.07
July,2007,28.26
August,2007,26.87
September,2007,26.57
October,2007,24.48
November,2007,19.03
December,2007,17.74
Hello,2008,13.32
February,2008,11.24
March,2008,18.19
April,2008,22.27
May,2008,24.16
June,2008,25.37
July,2008,26.9
August,2008,26.71
September,2008,26.93
October,2008,25.19
November,2008,20
December,2008,16.03
Hello,2009,12.58
February,2009,19.25
March,2009,18.23
April,2009,20.87
May,2009,23.94
June,2009,26.9
July,2009,27.52
August,2009,27.87
September,2009,27.5
October,2009,25.1
November,2009,18.17
December,2009,15.58
Hello,2010,15.26
February,2010,16.57
March,2010,18.55
April,2010,19.83
May,2010,24.52
June,2010,26.3
July,2010,27.71
August,2010,27.29
September,2010,26.4
October,2010,23.65
November,2010,19.4
December,2010,15.32
Hello,2011,10.77
February,2011,14.21
March,2011,15.81
April,2011,21
May,2011,24.35
June,2011,27.1
July,2011,27.45
August,2011,28.13
September,2011,26.63
October,2011,23.55
November,2011,22
December,2011,14.77
Hello,2012,12.93
February,2012,14.34
March,2012,17.65
April,2012,22.53
May,2012,26.61
June,2012,27.3
July,2012,27.32
August,2012,27.87
September,2012,26.47
October,2012,24.19
November,2012,20.7
December,2012,15.71
Hello,2013,14.81
February,2013,17.54
March,2013,19
April,2013,20.37
May,2013,24.61
June,2013,27.03
July,2013,26.97
August,2013,27.06
September,2013,26.5
October,2013,24.19
November,2013,19.97
December,2013,13.52
Hello,2014,14.16
February,2014,13.39
March,2014,17.65
April,2014,21.97
May,2014,25.32
June,2014,27.73
July,2014,27.97
August,2014,27.55
September,2014,27.73
October,2014,25.06
November,2014,21.5
December,2014,14.23
Hello,2015,14.87
February,2015,16.64
March,2015,19.32
April,2015,21.67
May,2015,26.52
June,2015,28.4
July,2015,27.74
August,2015,27.68
September,2015,27.13
October,2015,24.58
November,2015,22.63
December,2015,16.55
Hello,2016,14.52
February,2016,13.17
March,2016,16.26
April,2016,22.53
May,2016,25.68
June,2016,28.1
July,2016,28.26
August,2016,27.13
September,2016,26.77
October,2016,25.45
November,2016,20.37
December,2016,17.84
Hello,2017,17.23
February,2017,15.04
March,2017,18
April,2017,21.47
May,2017,24.58
June,2017,27.8
July,2017,27.42
August,2017,27.81
September,2017,27.57
October,2017,25.36
